domain
*.adb.us-ashburn-1.oraclecloud.com
*.adb.us-phoenix-1.oraclecloud.com
*.api.azureml.ms
*.api.ml.azure.cn
*.chinaeast2.api.ml.azure.cn
*.azure-api.net
*.azure-automation.net
*.azure-devices.net
*.azurehdinsight.net
*.bfcec.com
*.cdn.office.net
*.cigna.com
*.cmicbs.com
*.core.windows.net
*.cummins.com
*.cummins.com.cn
*.cummins-cq.com
*.datafactory.azure.net
*.dcec.com.cn
